Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
KOREA, REPUBLIC OF;2495;2382;2582;2977;3381;3909;3787;3829;3335;4253;4442;4554;4697;5036;6030;6769;7679;8913;9825.8;11682.4;10754.1;14388.9;10552.4;12361.7;14334.5;1894.8;471.4
KUWAIT;51;57;54;66;82;95;99;118;125;158;185;227;235;244;250;230;227;231;232;259.8;295.1;326.4;335.8;324.3;356;68.5;68.6
KYRGYZSTAN;NULL;NULL;NULL;NULL;NULL;2;8;11;14;17;22;26;31;31.2;47.8;25.3;33.2;51.5;38.8;46.3;50;54.4;55.5;53.5;59.6;6.4;8.9
LAO PEOPLE´S DEMOCRATIC REPUBLIC;301;337;397;411;503;600;549;575;495;728;897;1007;1404;1480;1818;2257;2461;3058;3468.6;3850;4362;3911.4;3627.6;3937.4;4508.2;780.1;NULL
LATVIA;NULL;7;10;7;11;8;16;18;17;13;8;19;18;22;35;47;49;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LEBANON;29;34;41;41;47;56;54;61;66;92;88;74;64;89;129;133;112;102;98;99.5;109.3;125.9;137.9;147.4;138.1;21.5;28.3
LESOTHO;1;1;2;1;1;2;2;2;4;3;3;3;5;6;5;4;2;3;4;21;20;17.4;23.9;16.1;24.3;NULL;7.6
LIBERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIBYA;11;19;3;3;3;2;6;7;7;NULL;NULL;5;3.7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIECHTENSTEIN;2;2;2;2;2;1.8;1.6;1.7;1.6;1.7;1.6;1.7;1.9;1.7;1.3;1.7;1.9;2.5;2.8;3.6;4.1;5;5.6;5.923;6.9;0.9;0.6
LITHUANIA;4;6;8;7;8;9;11;10;11;15;15;16;NULL;56.6;40.4;28.4;42.6;60.2;61;82.1;95.5;107;113.1;NULL;NULL;2;0.9
LUXEMBOURG;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;32;31;32;35;55.7;75;60.3;71.3;78.7;70.2;65.8;63.6;63;19.4;47.8
MACAO, CHINA;7188;7493;6435;6498;7155;8872;10005;11280;11693;16372;18321;21526;26338;22224;21078;24192;27207;27294.7;28532.5;30725.6;29930;30148.1;31837.2;35002.7;38626.8;5844.3;7705.3
MADAGASCAR;4;4;1;1;2;2;3;1;5;3;6;7;14;16;6;7;23;23.4;12;12.7;7.4;13.5;5.5;12.2;17;5.8;0.224
MALAWI;8;8;8;9;10;NULL;NULL;6;10;11;9;10;13;12;12;20;10;7;18.5;8.4;9.1;12.4;15.4;16;6.4;2.1;6
MALAYSIA;6660;6336;5450;4697;6827;8716;10833;11456;9074;13983;14686;15478;17657;18973;20830;21605;21667;21946;22568;23846.4;22566.7;23992.5;23384.2;22866.6;22905.9;3692.6;107.7
MALDIVES;49;53;61;57;61;73;69;77;84;100;56;102;125;127;138;214;303;339;468;521.6;522.2;496.9;505.4;506.4;512.4;72;24.9
MALI;NULL;1;2;2;1;1;1;1;1;3;2;2;1;5;1;3;3;4.6;4.2;5;4.6;6;5.2;6.3;5.9;0.7;4.5
MALTA;11;12;14;16;18;21;22;25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MARSHALL ISLANDS;3.3;3.7;3.4;3.5;2.2;2.9;3.1;3.4;4.4;4.5;5.6;3.9;4.4;3.7;3.3;2.9;2.9;3.2;NULL;3.4;4;3.4;3.9;NULL;NULL;NULL;NULL
MARTINIQUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MAURITANIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MAURITIUS;19;23;25;23;21;24;24;25;22;27;29;34;40;40;26;31;46;54.7;79.1;99.1;125.8;124.7;122.8;112.8;88.5;13.4;3.9
