Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ICELAND;282;312;327;399;440;471;372;373;524;699;991;1084;1336;1103;546;612;754;792;854;964;963;1217;1554;1691;1509;532;756
INDIA;996;913;1342;1713;2010;3686;4367;4350;4385;5783;8277;8738;10690;12083;9310;10490;13699;14107;13884;17492;17686;19184;21856;25790;28595;15777;17838
INDONESIA;2172;2399;2411;2102;2353;3197;3406;5042;4427;4569;4740;5458;6578;8801;6908;8432;8653;9055;10280;10263;9800;9932;10945;13171;14449;2075;516
IRAN, ISLAMIC REPUBLIC OF;247;274;396;155;638;671;714;3990;4120;4402;4112;5066;7335;8270;8503;10570;10555;8435;9464;10130;9658;11142;12568;9271;NULL;NULL;NULL
IRAQ;117;70;131;14;14;9;31;26;NULL;NULL;627;526;705;813;1221;1675;1879;2363;4835;6115;7934;7647;8093;7855;10925;4172;7453
IRELAND;2034;2198;2210;3015;2712;2626;2956;3835;4832;5291;6185;6981;8784;10543;7940;7176;6842;5895;6198;6412;5704;6234;6616;7541;8156;2549;2524
ISRAEL;2626;2849;2952;3233;3411;3733;3887;3322;3341;3663;4146;4286;4921;4967;4500;4683;4874;5008;5757;6534;7506;8210;8985;9975;10389;2175;3888
ITALY;17201;18619;19676;20539;19587;18170;17002;19652;23748;24076;26764;27449;32748;30940;27967;26902;28749;26239;26948;28866;30312;30584;34819;37644;37908;12977;17101
JAMAICA;173;181;205;223;256;238;227;274;269;318;290;315;340;312;259;235;213;418;392;457;413;413;455;505;508;291;399
JAPAN;46966;46800;41381;35334;41213;42643;35526;34977;36505;48175;48096;37655;37258;38971;34787;39306;39760;40967;32244;28609;23252;25968;25774;28097;29146;6762;3285
JORDAN;719;630;635;642;536;387;420;504;503;585;653;956;1024;1140;1202;1736;1280;1257;1206;1251;1267;1367;1496;1493;1569;408;981
KAZAKHSTAN;296;364;494;549;455;483;761;863;783;997;940;1060;1396;1361;1319;1489;1831;3609;3772;3771;3046;2580;2695;2852;2927;866;1696
KENYA;230;205;152;155;182;156;183;126;127;108;124;178;265;266;227;212;197;174;233;206;217;145;262;229;196;107;133
KIRIBATI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.1;5.5;6.6;11.7;10.1;12.3;7.9;13.4;13.2;12.4;15.2;24.57;13.2;14.3;3.2;4
KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KOREA, REPUBLIC OF;6947;8291;8039;4027;5555;7945;8349;11440;11063;13507;16924;20947;24431;21447;16355;20788;22195;22934;24459;26136;27957;29817;34453;38022;35339;16647;17177
KUWAIT;2514;2779;2684;2823;2574;2852;3207;3412;3750;4147;4997;6074;7267;8341;6799;7106;8879;10073;10567;12280;13148;13232;13722;14318;15839;6831;8093
KYRGYZSTAN;7;7;11;25;27;28;21;27;35;73;94;142;215;450;273;275;392;529;505;568;535;582;422;451;519;185;214
LAO PEOPLE´S DEMOCRATIC REPUBLIC;34;28;27;29;17;8;4.1;4.3;5;8;10;15;14;51;91;215;248;614;907;1054;1002;912.1;930;1005;1029;260;3.7800000000000002
LATVIA;62;407;379;355;321;281;255;267;365;428;655;788;1021;1139;798;648;765;680;715;715;618;699;728;778;748;553;736
LEBANON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2683;3319;3719;3565;3783;3914;4297;4928;4868;4440;4511;4692;5198;5187;5252;5704;6395;6495;1699;1872
LESOTHO;17;16;17;16;17;195;166;164;242;278;271;263;276;248;247;278;300;252;212;177;180;262;307;347;323;272;289.1
LIBERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;29;33;41;48;58;51;1.7;1.9;2.1;2.4;2.2;2.5;3.51;5.97;7.7;5.7;NULL;NULL
LIBYA;98;85;286;423;574;495;572;654;689;789;920;915;1010;1339;1683;2184;2269;2654;2598;1325;1066;813;2005;2042;2822;836;NULL
LIECHTENSTEIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LITHUANIA;107;270;289;304;350;261;227;334;476;643;743;909;1144;1530;1119;849;859;925;1069;1059;951;1012;1115;1400;1388;538;575
LUXEMBOURG;1193;1189;1115;1335;1316;1309;1464;1557.0658524537282;1944.9250963973193;2254.066680598811;2321.3667005757993;2305.357287127038;2656.9265879349286;2831.721983268749;2666.189364623045;2536.270977933398;2726.879315214032;2439.346024814063;2595.217023237675;2873.5352399634735;2334.9987256554678;2266.0885804097957;2945.5996100812076;3392.0580004187605;3680.762780815615;2813.323818619415;3882.936437984434
MACAO, CHINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;512;471;529;475;506;608;695;714;883;1064;1155;1239;1385;1435;1500;1702;1941;2034;886;901
MADAGASCAR;79;89;101;140;133;139;179;192;67;108;164;167;188;264;225;216;288;235;256;317;240;300;319;309;319;84;125
MALAWI;53;64;81;49;52;53;52;86;70;70;84;85;79;86;91;90;92;96;90;106;121;100;159;174;168;130;140
MALAYSIA;2722;3032;3158;2160;2382;2543;3391;3330;3401;3822;4339;5085;6600;7724;7196;9258;11136;13165;13377;13893;11599;11339;12145;13207;13694;5190;3725
MALDIVES;41;48;51;55;58;60;59;60;60;75;94;106;152;211;212;252;231;207;252;271;309;347;369;414;431;126;188
MALI;74;69;65;67;65;66;65;62;94;125;133;196;201;228;191;167;171;164;189;231;207;213;221;255;260;155;NULL
MALTA;237;244;216;221;231;224;204;180;238;291;311;362;284;307;291;309;333;339;384;397;368;408;472;518;530;127;240
MARSHALL ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;25.5;23.1;24.3;24.5;24.549999999999997;21.990000000000002;23.799999999999997;25.5;24.7;23.8;26.2;27.0;27.6;31.4;22.0;23.799999999999997;NULL
