Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
GABON;72;82;94;103;104;112;119;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GAMBIA;40;72;81;86;91;75;54;77;64;84;93;101;121;123;115;73;87;109;109;102;81;106;106;141.2;156.2;60.1;38.5
GEORGIA;78;106;304;304;363;358;282;275;289;343;533;936;1009;1243;1447;1957;2193.1;3479.5;4270.4;4391.9;4667.3;4641.9;5440.8;6087.6;6665.3;1297;1348.2
GERMANY;10820;11112;11491;11979;12497;13516;13093;13289;13878;14918;16100;17504;18423;19096;18782;20610;21861;23121;23899;24915.3;25951;26568.4;27635.3;28681.2;29489.2;10594.9;10047.7
GHANA;71;76;81;86;92;99;109;120;132;145;100;96;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;150.6;157.4;123.7;156.1;32;72
GREECE;9467;8541;9405;10334;11556;12465;13483;13630;13459;12766;13996;15104;14988;14767;13884;14034;15430;14661;16822;20651;21984.6;22898.2;24858.5;27225.8;28207.3;6993;13863.1
GRENADA;36;38;38;38;41;46;40;39;43;36;22;33;42;45;36;35;36;31.2;25.7;31.2;32.6;30.9;30.5;31.4;30.9;10.1;7.5
GUADELOUPE;141;135;129;125;137;495;361;NULL;NULL;NULL;370;NULL;NULL;NULL;343;385;NULL;NULL;374;NULL;452.6;NULL;NULL;NULL;NULL;NULL;NULL
GUAM;NULL;1;2;2;2;2;1;1;NULL;2;2;1;2;2;2;2;2;6;10.2;18.2;5;4.6;5.4;7.1;6.5;1.2;1
GUATEMALA;104;97;104;115;114;119;135;145;151;150;140;147;152;165;117.6;119.3;116.3;114.2;119.7;138.4;140.2;135;149.7;154.3;149.6;41.3;39.7
GUINEA;NULL;NULL;9;12;11;14;13;12;15;16;15;15;9;7.7;NULL;5.1;54.5;37;21.5;12.9;14.6;23.5;NULL;NULL;NULL;NULL;NULL
