id;Region/Country/Area;Year;Series;Value;Footnotes;Source
31;Azerbaijan;2010;Consumer price index: Food;100.0;Including tobacco.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
31;Azerbaijan;2015;Consumer price index: Food;119.6;Including tobacco.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
31;Azerbaijan;2019;Consumer price index: Food;166.7;Including tobacco.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
31;Azerbaijan;2020;Consumer price index: Food;174.1;Including tobacco.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
31;Azerbaijan;2021;Consumer price index: Food;188.5;Including tobacco.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
44;Bahamas;2000;Consumer price index: General;80.0;Estimate.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
44;Bahamas;2005;Consumer price index: General;88.2;Estimate.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
44;Bahamas;2010;Consumer price index: General;100.0;Estimate.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
44;Bahamas;2015;Consumer price index: General;109.6;Estimate.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
44;Bahamas;2019;Consumer price index: General;116.2;Estimate.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
44;Bahamas;2020;Consumer price index: General;116.3;Estimate.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
44;Bahamas;2015;Consumer price index: Food;106.5;New Providence;Index base: November 2014=100.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
