Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ESTONIA;1585;1735;1770;1900;NULL;2221;2143;2212;2193;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ESWATINI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ETHIOPIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FIJI;23;23;17;6;6;7;6;8;8;NULL;8;11;13;15;14;19;21;19;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FINLAND;NULL;NULL;NULL;1247;1104;1218;1241;1362;1287;1449;1538;1593;1694;1637;1606;1580;1722;1865;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRANCE;NULL;4527;4990;NULL;NULL;NULL;4470;NULL;NULL;7558;7488;7793;7675;7309;6962;7055.8;6652;6094.5;6677.2;5256;5607.2;5094.3;5814.4;5774.6;5877.5;NULL;NULL
FRENCH GUIANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GABON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GAMBIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7;5;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;17;15;11.9;10.5;13.2;8.9;11.7
GEORGIA;NULL;NULL;NULL;NULL;NULL;52;34;40;45;34;NULL;50;41;48;54;57;47.3;42.4;41.7;40.5;36;36.1;31.7;32.5;40.5;13.3;6.9
GERMANY;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6151;6266;6420;6635;6422;6684;2412;3110
