Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ESWATINI;54;42;44;51;15;24;23;45;70.04;75.1;77.3;75.1;32.2;26.3;40.1;51.4;10.1;29.1;4.2;15.6;14.2;13.2;13.2;16.4;14.3;7.3;8.2
ETHIOPIA;177;170;157;152;176;205;218;261;336;458;533;639;790;1184;1119;1434;1998;1980;2236;2107;2279;2138;2505;3548;3529;2282;2601
FIJI;369;374;386;309;365;291;316;384;496;588;722;684;722;952;688;825;955;989;966;1091;1094;1149;1243;1370;1345;237;66
FINLAND;2383;2408;2358;2371;2236;2035;2066;2238;2679;2977;3069;3515;4287;4875;4072;4496;5615;5418;5774;5409;4011;4017;5210;5762;5944;1757;1541
FRANCE;31295;32088;27402;29490;44551;38706;37826;41113;46576;53068;52126;54615;63890;68034;58906;56178;66133;63975;66054;67402;66441;63557;67717;72518;70786;35849;44402
FRENCH GUIANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;471;651;737;759;463;537;737;618;630;725;720;746;835;758;782;511;642;NULL;NULL;NULL
GABON;94;91;103;110;143;99;46;77;84;74;13;NULL;26;26.5;26.2;89;25.4;39.5;61.2;43.5;28.7;NULL;NULL;NULL;NULL;NULL;NULL
GAMBIA;28;67;76;NULL;NULL;NULL;NULL;NULL;58;51;59;69;87;80.2;64;80;86;104;78;110;92;88;128;174;157;53;67
GEORGIA;NULL;NULL;75;229;131;107;136;144;172;209;287;361;440;505;537;737;1069;1565;1916;1972;2049;2315;2971;3518;3551;586;1351
GERMANY;24053;23982;24500;25806;25327;24943;24182;26717;30129;36417;40518;45560;49320;53402;47499;49116;53465;51626;55486;58721;50669;52234;40011;42895;41779;22068;22113
GHANA;30;32;35;304;325;357;374;383;441;495;867;910;990;970;849;706;797;1154;1010;1027;911;952;919;996;1490;191;664
GREECE;4182;3759;3794;6188;8839;9264;9219;10012;10852;12815;13455;14502;15683;17608;16038;13857;16269;14665;17433;19489;17547;16811;19139;21594;23003;6193;13666
GRENADA;76;79;78;83;88;93;83;91;104;86;71;94;129;127;112;112;117;122;120;388;422;437;482;522;562;181;231
GUADELOUPE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUAM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUATEMALA;216;221;270;329;374;498;588;647;646;630;791;919;1055;1098.3;1086.3;1053.3;1077.4;1110;1160.7;1164.4;1169.5;1202.7;1217.6;1235.1;1227.2;328.5;393.1
GUINEA;0.911;9.3;4.8;4.3;5.8;7.8;8.2;NULL;0.6;NULL;5.6;NULL;1.1;2.4;4.9;2.04;2.12;1.68;NULL;17.099999999999998;27;16.599999999999998;16.599999999999998;4.7;10.4;1.29;12.799999999999999
GUINEA-BISSAU;NULL;NULL;3.1;NULL;NULL;NULL;2.7;2.3;2.4;2.2;1.6;2.8;28.4;38.2;12;13.600000000000001;14.5;6.8;17.4;20.8;17.3;11.5;16.44;20.0;18.919999999999998;2.9;NULL
GUYANA;33;112;115;111;109;80;65;53;28;27;35;37;50;59;35;80;95;64;77;79;65;104;95;28;27;24;26
HAITI;90;96;107;131;135;128;105;108;96;93;80;126;190;360;416;383;456;447;546;578;609;549;588;620;450;98;80
HONDURAS;85;119;152;175;214;263;260;305;372;420;465;515.7;546.6;619.8;616.1;626.7;641.5;683.7;618;706;671;585;610;601;558;157;305
HONG KONG, CHINA;9604;11994;9979;7337;7343;8198;7923;9849;9004;11874;13588;15541;18237;20236;20291;27208;33169;37098;42426;46352;42491;37838;38170;42313;32697;2856;1767
HUNGARY;2938;3589;3824;3688;3622;3809;4191;3774;4119;4009;4761;4998;5628;7533;7013;6595;7239;6149;6671;7483;6929;7481;8448;9618;10225;4223;5783
ICELAND;309;312;314;372;380;386;383;415;486;558;635;702;848;881;550;562;752;866;1084;1396;1630;2429;3020;3134;2689;654;1303
INDIA;2582;2831;2890;2949;3010;3598;3342;3300;4560;6307;7659;8915;11234;12462;11136;14490;17708;18340;19042;20756;21472;23111;27878;29143;31661;13413;9135
INDONESIA;5229;6184;6648;4255;4352;4975;5277;5797;4461;5226;5094;4890;5831;8150;6053;7618;9038;9463;10302;11567;12054;12566;14691;17915;18405;3603;548
IRAN, ISLAMIC REPUBLIC OF;205;142;190;656;559;677;1122;1607;1266;1305;1025;1464;1950;1978;2259;2631;2489;2483;3306;4197;4771;4634;4531;5252;NULL;NULL;NULL
IRAQ;18;15;14;15;1;2;15;45;NULL;NULL;186;170;555;867;1432;1736;1557;1640;1682;1938;2833;3120;2959;1986;3593;955;1963
IRELAND;2697.7927332635013;3022.329605669104;3181;3297;3403;3517;3789;4228;5206;6075;6779;7668;9260;9972;8465;8185;9532;9255;10165;11101;11476;12649;14294;15276;14808;4665;5206
ISRAEL;3491;3506;3740;3598;4800;4611;2854;2426;2473;2908;3750;3736;4325;5401;4937;5638;5886;6183;6600;6616;6605;6616;7602;8048;8459;2661;2427
ITALY;30411;31884;31415;31339;29570;28712;26924;28213;32623;37893;38364;41666;46134;46217;40407;38432;43271;40943;43825;45562;41415;42423;46719;51602;51910;20317;25355
JAMAICA;1199;1218;1290;1380;1486;1577;1494;1482;1621;1733;1783;2094;2142;2222;2070;2095;2060;2069;2074;2255;2401;2539;2809;3099;3599;1349;2119
JAPAN;4894;5775;6175;5664;5715;5970;5750;6069;11475;14343;15554;11490;12422;13781;12537;15356;12533;16197;16865;20790;27285;33456;36978;45276;49209;11396;5225
JORDAN;973;1026;1063;1083;1016;935;884;1254;1266;1621;1759;2426;2754;3539;3472;4390;4351;5123;5145;5518;4968;4943;5549;6221;6765;1745;3426
KAZAKHSTAN;155;258;350;454;394;403;502;680;638;803;801;973;1214;1255;1185;1236;1524;2154;2365;2239;1833;2038;2356;2651;2915;585;688
KENYA;785;823;1077;1213;1211;500;536;513;619;799;969;1181;1514;1398;1124;1620;1844;2004;1829;1745;1596;1472;1564;1784;1762;739;1222
KIRIBATI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.3;3.3;3.3;3.9;4.3;4.9;4.9;3.4;3.2;2;2.8;5.17;3.4;3.2;0.03;0.01
KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KOREA, REPUBLIC OF;6670;6350;6317;8263;8337;8527;7917;7617;7002;8222;8282;8437;9253;13440;13262;14315;17329;18731;19457;22390;18711;20924;17173;23104;25456;11524;11084
KUWAIT;307;389;396;456;342;394;286;320;328;398;413;508;530;610;660;574;644;780;619;615;931;831;643;919;1198;526;708
KYRGYZSTAN;5;4;7;12;18;20;32;48;62;92;94;189;392;569;300;212;405;486;585;468;482;477;480;518;708;195;259
LAO PEOPLE´S DEMOCRATIC REPUBLIC;52;63;61;97;86;114;108;110;77;122;143;160;190;280;271;385;413;461;613;642.4;725;717;655;833;974;227;5.7
LATVIA;37;231;235;222;153;172;153;201;271;343;446;622;880;801;724;639;771;744;865;953;895;899;951;1057;1016;801;751
LEBANON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4284;6782;5931;5969;5457;5796;6317;7157;8026;6797;7361;7032;6835;7087;7373;8086;8694;8717;2369;3162
LESOTHO;29;33.7;33.72;24.7;23.1;18;16;14;21;26;27;29;31;30;30;23;24;22;17;16;34;48;23;24;21;6;8
LIBERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;59;67;124;131;158;123;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.9;NULL;NULL
LIBYA;4;4;3;23;39;84;90;202;243;261;301;244;99;99;159;170;30;110;131;33;33;33;41;52;150;93;NULL
LIECHTENSTEIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LITHUANIA;102;345;399;504;591;430;425;556;700;834;920;1038;1154;1248;972;958;1321;1317;1374;1383;1153;1210;1325;1504;1492;574;585
LUXEMBOURG;1695;1640;1639;1634;1697;1686;1780;3227.432239843143;4017.61475908876;4761.691653316152;4867.495726119684;4957.999397255248;5625.930212091821;6408.208062314061;6076.585812173825;6056.813666450156;7395.064335418353;7317.405958415627;7745.794247356162;7962.616551930041;6182.840467935935;6195.507185647657;6171.407598536538;6651.732181243013;6309.310199850857;5103.141468035724;5583.7170038758795
MACAO, CHINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4428;5225;7431;7181;8482;11198;13749;15182;22688;31118;36593;43755;43412;31620;31155;36596;41481;41165;9442;15679
MADAGASCAR;106;102;110;136;137;152;149;109;119;239;275;382;395;440;328;425;507;596;609;740;696;912;849;879;951;202;111
MALAWI;22;31;32;25;42;29;40;45;66;75;48;45;43;43;46;45;36;35;33;36;39;30;47;55;41;28;29
MALAYSIA;5044;5732;4925;3237;4403;5873;7627;8084;6799;9183;10389;12280;17948;18553;17231;19619;21338;21711;23283;24469;19194;19682;20311;21775;22200;3373;116
MALDIVES;211;266;286;303;314;321;327;337;402;471;826;1235;1515;1559;1473;1713;1966;2032;2422;2811;2691;2640;2771;3054;3171;1408;3490
MALI;26;27;25;28;36;47;91;105;136;142;149;175.4;227;286;196;208;218;144;178.2;213.9;186;201.6;207.4;231;235;82.3;NULL
MALTA;813;780;789;818;841;731;704;757;869;949;924;966;1185;1082;899;1066;1276;1260;1402;1521;1381;1451;1747;1849;1897;392;772
MARSHALL ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.6900000000000004;3.58;3.3;2.7;3.1;3.7;4.78;4.09;4.3;5.4;1.5;30.4;18.1;20.1;3.9;4.3;NULL
MARTINIQUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MAURITANIA;11;19;21;20;28;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;50;50;42;31;33;24;6.1;13.7;6.4;6.6
MAURITIUS;616;705;666;672;718;732;820;829;960;1156;1189;1302;1663;1823;1390;1585;1808;1778;1593;1719;1680;1824;2005;2161;2024;518;383
MEXICO;6847;7531;8184;8307;8135;9133;9190;9547;10058;11609;12801;13329;14055;14726;12542;12628;12458;13320;14311;16606;18729;20619;22467;23802;25847;11455;20554
MICRONESIA, FEDERATED STATES OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;22;24;22;22;27;29;25;NULL;NULL;NULL;NULL;NULL;NULL
MOLDOVA, REPUBLIC OF;71;50;74;64;49;57;58;72;79;112;138;150;229;293;240;222;253;279;324;328;300;344;441.9;500.1;521.3;353.40000000000003;484.3
MONACO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MONGOLIA;33;20;25;47;43;43;49;143;154;205;203;261;349;272;253;288;197;215;236;257;279;379;462;526;605;49;33.5
MONTENEGRO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;660;859;792;765;926;860;929;959;947;978;1110;1224;1276;180;902
MONTSERRAT;17;8;5;6;8;9;8;9;7;9;9;7.7;7.4;7;6.1;5.9;5.2;7;7.6;9.2;9.6;10.1;10.4;13.1;12.600000000000001;5.3999999999999995;1.9000000000000001
MOROCCO;1469;1857;1649;1934;2177;2280;2966;3157;3802;4540;5426;6900;8307;8885;7980;8176;9101;8491;8201;9070;7765;7922;9086;9520;9949;4514;4640.6
MOZAMBIQUE;NULL;49;61;61;61;74;64;65;106;96;138;145;182;213;217;135;171;224;228;225;202;114;164;331;324;113;188
MYANMAR;169;215;183;196;222;195;132;136;70;97;83;59;97;80;75;91;334;550;964;1687;2199;2289;1988;1670;2501;NULL;NULL
NAMIBIA;278;293;333;288;238;145;250;244;383;426;362;474;541;485;507;471;516;416;357;552;540;295;449;488;451;155;142.8
NAURU;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6;0.5;0.6;1;1;1.5;6.8;1.7;3.4;3.9;1.6;NULL;NULL;NULL
NEPAL;232;237;201;248;229;219;191;134;232;260;160;157;234;353;439;378;415;379;460;511;509;498;712;740;801;238;176
