Arrivee
AM;2003;206
AT;2003;19078
BD;2003;245
BE;2003;6690
BT;2003;6.3
BO;2003;427
BA;2003;165
BR;2003;4133
BN;2003;218
BF;2003;163
BI;2003;74
CV;2003;150
KH;2003;701
CF;2003;5.7
TD;2003;119
CL;2003;2490
KM;2003;20.6
CG;2003;23
CD;2003;36
CK;2003;78
DJ;2003;23.2
ET;2003;180
FI;2003;3224
GM;2003;89
DE;2003;18399
GH;2003;531
GU;2003;910
GN;2003;44
GY;2003;101
IE;2003;7098
KI;2003;4.9
LB;2003;1016
LI;2003;49
LU;2003;867
MG;2003;229
MW;2003;424
MY;2003;25832
MV;2003;572
ML;2003;110
MH;2003;7.2
FM;2003;18.2
MD;2003;89
MC;2003;395
ME;2003;142
MM;2003;597
NP;2003;338
NL;2003;9181
NE;2003;55
NU;2003;2.7
MK;2003;158
NO;2003;7001
PK;2003;501
PW;2003;63
PG;2003;56
PE;2003;1144
PH;2003;1917
PT;2003;11723
QA;2003;557
WS;2003;92
RS;2003;339
SL;2003;38.1
SK;2003;1387
SI;2003;3397
SB;2003;6.6
SD;2003;52
SE;2003;4729
CH;2003;6530
TH;2003;14150
TG;2003;61
TN;2003;2012
TM;2003;8.2
TC;2003;164
TV;2003;1.4
UG;2003;305
AE;2003;5871
YE;2003;155
ZM;2003;413
AS;2004;3.5
AO;2004;194
AR;2004;3457
AM;2004;263
AT;2004;19374
BD;2004;271
BE;2004;6710
BT;2004;9.2
BO;2004;480
BA;2004;190
BR;2004;4794
BF;2004;222
BI;2004;133
CV;2004;157
KH;2004;1055
CM;2004;190
CF;2004;8.2
TD;2004;120
CL;2004;2804
KM;2004;23.3
CG;2004;31
CD;2004;61
CK;2004;83
DJ;2004;26.3
ET;2004;184
FI;2004;3290
GM;2004;142
DE;2004;20137
GH;2004;584
GU;2004;1160
GN;2004;45
GY;2004;122
IE;2004;7302
KI;2004;5.9
LB;2004;1278
LI;2004;48.5
LU;2004;878
MG;2004;277
MW;2004;427
MV;2004;625
ML;2004;113
MH;2004;9
FM;2004;19.3
MD;2004;95.6
MC;2004;500
ME;2004;188
MM;2004;657
NP;2004;385
NL;2004;9646
NE;2004;57
NU;2004;2.6
MK;2004;165
NO;2004;6540
PK;2004;648
PW;2004;89
PG;2004;59
PH;2004;2307
PT;2004;13359
QA;2004;732
WS;2004;98
RS;2004;392
SL;2004;43.6
SK;2004;1401
SI;2004;3991
SB;2004;5.6
SD;2004;61
SE;2004;5224
TH;2004;15936
TG;2004;83
TN;2004;2475
TC;2004;173
TV;2004;1.3
UG;2004;512
AE;2004;6195
YE;2004;274
ZM;2004;515
AS;2005;30.6
AO;2005;210
AR;2005;3823
AM;2005;319
AT;2005;19952
BD;2005;208
BE;2005;6747
BT;2005;13.6
BO;2005;524
BA;2005;217
BR;2005;5358
BF;2005;245
BI;2005;148
CV;2005;198
KH;2005;1422
CM;2005;176
CF;2005;12
TD;2005;98
CL;2005;2986
KM;2005;25.9
CG;2005;35
CD;2005;55
CK;2005;88
DJ;2005;30.2
ET;2005;227
FI;2005;896
GF;2005;96.7
GM;2005;91
DE;2005;21500
GH;2005;429
GU;2005;1228
GN;2005;45
GW;2005;5
GY;2005;117
IE;2005;7700
KI;2005;1.4
LB;2005;1140
LI;2005;49.8
LU;2005;913
MG;2005;312
MW;2005;438
MV;2005;403
ML;2005;143
MH;2005;9.2
FM;2005;19
MD;2005;93.9
MC;2005;552
ME;2005;272
MM;2005;660
NP;2005;375
NL;2005;10012
NE;2005;58
NU;2005;2.8
MK;2005;197
NO;2005;6780
PK;2005;798
PW;2005;81
PG;2005;69
PH;2005;2627
PT;2005;15432
QA;2005;913
WS;2005;102
RS;2005;453
SL;2005;40
SK;2005;1515
SI;2005;4425
SB;2005;10.6
SD;2005;246
SE;2005;4555
CH;2005;7229
TH;2005;19230
TG;2005;81
TC;2005;176
TV;2005;1.1
UG;2005;468
AE;2005;7126
YE;2005;336
ZM;2005;669
AS;2006;25.3
AO;2006;121
AR;2006;4173
AM;2006;382
AT;2006;20269
BD;2006;200
BE;2006;6995
BT;2006;17.3
BO;2006;521
BA;2006;256
BR;2006;5017
BF;2006;264
BI;2006;214
CV;2006;242
KH;2006;1700
CF;2006;13.8
TD;2006;87
CL;2006;3210
KM;2006;28.5
CG;2006;46
CD;2006;47
CK;2006;92
DJ;2006;39.5
ET;2006;330
FI;2006;807
GM;2006;106
DE;2006;23569
GH;2006;497
GU;2006;1212
GN;2006;30
GW;2006;11.6
GY;2006;113
IE;2006;8425
KI;2006;0.07
LB;2006;1063
LI;2006;54.9
LU;2006;908
MG;2006;344
MW;2006;638
MV;2006;608
ML;2006;153
MH;2006;5.8
FM;2006;19.1
MD;2006;94.4
MC;2006;673
ME;2006;378
MM;2006;630
NP;2006;384
NL;2006;10739
NE;2006;60
NU;2006;3
MK;2006;202
NO;2006;1397
PK;2006;898
PW;2006;82
PG;2006;78
PH;2006;2851
PT;2006;16186
QA;2006;946
RS;2006;469
SL;2006;33.7
SK;2006;1612
SI;2006;4702
SB;2006;12.7
SD;2006;328
SE;2006;4899
CH;2006;7863
TH;2006;22354
TL;2006;14
TG;2006;94
TC;2006;248
TV;2006;1.1
UG;2006;539
YE;2006;1061
ZM;2006;757
AS;2007;24.1
AO;2007;195
AR;2007;4562
AM;2007;511
AT;2007;20773
BD;2007;289
BE;2007;7045
BT;2007;21
BO;2007;573
BA;2007;306
BR;2007;5026
BF;2007;289
BI;2007;192
CV;2007;267
KH;2007;2015
CF;2007;17.1
TD;2007;77
CL;2007;3248
KM;2007;15.2
CG;2007;55
CD;2007;50
CK;2007;97
DJ;2007;40
ET;2007;358
GF;2007;109
GM;2007;157
DE;2007;24421
GH;2007;587
GU;2007;1225
GN;2007;24
GW;2007;15.6
GY;2007;134
IE;2007;8754
LB;2007;1017
LI;2007;72.8
LU;2007;914
MG;2007;375
MW;2007;735
MV;2007;688
ML;2007;164
MH;2007;7.2
FM;2007;21.1
MD;2007;121
MC;2007;692
ME;2007;984
MM;2007;716
NP;2007;527
NL;2007;11008
NE;2007;48
NU;2007;3.5
MK;2007;230
NO;2007;1435
PK;2007;840
PW;2007;88
PG;2007;104
PH;2007;3126
PT;2007;17283
QA;2007;964
RS;2007;696
SL;2007;32.2
SK;2007;1685
SI;2007;1216
SB;2007;15.1
SD;2007;436
SE;2007;5183
CH;2007;8448
TH;2007;26547
TL;2007;22
TG;2007;86
TC;2007;265
TV;2007;1.1
UG;2007;642
YE;2007;948
ZM;2007;897
AS;2008;24.3
AO;2008;294
AR;2008;4700
AM;2008;558
AT;2008;21935
BD;2008;467
BE;2008;7165
BT;2008;28
BO;2008;594
BA;2008;322
BR;2008;5050
BF;2008;272
BI;2008;202
CV;2008;285
KH;2008;2125
CF;2008;30.6
TD;2008;79
KM;2008;14.8
CG;2008;62
CD;2008;53
CK;2008;95
DJ;2008;54
ET;2008;383
GM;2008;171
DE;2008;24884
GH;2008;698
GU;2008;1142
GW;2008;18
GY;2008;130
IE;2008;8577
LB;2008;1333
LI;2008;72.9
LU;2008;877
MG;2008;163
MW;2008;742
MV;2008;687
ML;2008;190
MH;2008;6
FM;2008;25.7
MD;2008;145
MC;2008;788
ME;2008;1031
MM;2008;731
NP;2008;500
NL;2008;10104
NE;2008;73
NU;2008;4.7
MK;2008;255
PK;2008;823
PW;2008;81
PH;2008;3181
PT;2008;4208
QA;2008;1405
RS;2008;646
SL;2008;36
SK;2008;1767
SI;2008;1832
SB;2008;16.3
SD;2008;440
SE;2008;6482
CH;2008;8608
TH;2008;24810
TL;2008;36
TG;2008;74
TV;2008;1.7
UG;2008;844
YE;2008;1023
ZM;2008;812
AS;2009;23.5
AO;2009;366
AR;2009;4308
AM;2009;575
AT;2009;21355
BD;2009;267
BE;2009;6815
BT;2009;23
BO;2009;599
BA;2009;311
BR;2009;4802
BF;2009;269
BI;2009;212
CV;2009;287
KH;2009;2162
CF;2009;52.4
TD;2009;11
KM;2009;11.3
CG;2009;94
CD;2009;81
CK;2009;101
DJ;2009;58
ET;2009;427
GF;2009;83
GM;2009;156
DE;2009;24220
GH;2009;803
GU;2009;1053
GN;2009;12.4
GW;2009;16
GY;2009;141
IE;2009;7668
LB;2009;1844
LI;2009;66.5
LU;2009;847
MG;2009;196
MW;2009;755
MV;2009;662
ML;2009;160
MH;2009;5.4
FM;2009;47.5
MD;2009;160
MC;2009;737
ME;2009;1044
MM;2009;763
NP;2009;510
NL;2009;9921
NE;2009;66
NU;2009;4.7
MK;2009;259
PK;2009;855
PW;2009;71
PH;2009;3059
PT;2009;6345
RS;2009;645
SL;2009;37
SK;2009;1298
SB;2009;18.3
SD;2009;420
SE;2009;6782
CH;2009;8294
TH;2009;29923
TL;2009;44
TG;2009;150
TV;2009;1.6
UG;2009;807
YE;2009;1028
ZM;2009;710
AS;2010;0.9
AO;2010;425
AR;2010;6800
AM;2010;684
AT;2010;22004
BD;2010;139
BE;2010;7186
BT;2010;41
BO;2010;679
BA;2010;365
BR;2010;5161
BF;2010;274
BI;2010;142
CV;2010;336
KH;2010;2508
CF;2010;53.8
TD;2010;40
KM;2010;15.3
CD;2010;167
CK;2010;104
DJ;2010;51
ET;2010;468
GM;2010;449
DE;2010;26875
GH;2010;931
GU;2010;1197
GN;2010;131
GW;2010;22.3
GY;2010;152
IE;2010;7573
LB;2010;2168
LI;2010;64.3
LU;2010;805
MG;2010;225
MW;2010;746
MV;2010;793.0
ML;2010;169
MH;2010;4.6
FM;2010;44.7
MD;2010;174
MC;2010;923
ME;2010;1088
MM;2010;792
NP;2010;603
NL;2010;10883
NE;2010;74
NU;2010;6.2
MK;2010;262
PK;2010;907
PW;2010;85
PH;2010;3570
RS;2010;683
SL;2010;39
SK;2010;1327
SB;2010;20.5
SD;2010;495
SE;2010;7054
CH;2010;8628
TH;2010;32530
TL;2010;40
TG;2010;202
TV;2010;1.7
UG;2010;946
ZM;2010;815
AO;2011;481
AR;2011;6703
AM;2011;758
AT;2011;23012
BD;2011;157
