Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
IRAN, ISLAMIC REPUBLIC OF;452;573;764;1008;1321;1342;1402;1585;1546;1659;1889;2735;2219;2034;2116;2938;3354;3834;4769;4968;5237;4942;4867;7295;9107;1550;989
IRAQ;61;51;15;45;30;78;127;NULL;NULL;NULL;NULL;NULL;NULL;864;1262;1518;1510;1111;892;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
IRELAND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ISRAEL;2530;2360;2295;2200;2566;2672;1219;862.1;NULL;1505.8;1916;1834;2294;3034;2740;3444;3362;3520;3540;3251;3109;3070;3863;4389;4905;887;402
ITALY;55706;59805;57998;58499;59521;62702;60960;63561;63026;58480;59230;66353;70271;70719;71692;73225;75866;76293;76762;77694;81068;84925;89931;93228.6;95399;38419;40186
JAMAICA;1752;1821;1904;1899;2013;2230;2117;2131;2483;2515;2615;3016;2880;2859;2753;2832;3077;3306;3274;3504;3692;3837;4276;4319;4234;1329.7;1535
JAPAN;3345;3837;4218;4106;4438;4757;4772;5239;5212;6138;6728;7334;8347;8351;6790;8611;6219;8358;10364;13413;19737;24039;28691;31191;31881;4115.8;246
JORDAN;3277;3164;3068;3438;3231;2700;3034;4677;4600;5587;5817;6573;6529;7100;7085;8078;6813;6314;5389;5327;4809;4236;4565;4922;5361;1240;2359
KAZAKHSTAN;NULL;202;284;257;394;1683;2693;3678;3237;4291;4365;4707;5311;4117;3774;4097;5685;6163;6841;6333;6430;6509;7701;8789;8515;2035;1330
KENYA;974;1003;1001;894;969;1037;994;1001;1146;1361;1479;1601;1817;1203;1490;1609;1823;1711;1520;1350;1181;1340;1449;2025;2049;568;870
KIRIBATI;NULL;NULL;NULL;NULL;20.3;13.4;14.5;119.5;130.1;63.9;50.2;10.8;32.3;NULL;NULL;NULL;NULL;NULL;NULL;8.3;8.2;7.6;7.5;9;12;NULL;NULL
KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KOREA, REPUBLIC OF;3753;3684;3908;4250;4660;5322;5147;5347;4753;5818;6023;6155;6448;6891;7818;8798;9795;11140;12176;14202;13232;17242;13336;15347;17503;2519;967
KUWAIT;1443;1565;1638;1763;1884;1944;2072;2316;2602;3056;3474;3899;4482;4736;5088;5208;5574;5729;6217;6528;6941;7055;7407;8508;8565;2161;1606
KYRGYZSTAN;NULL;NULL;NULL;290;165;173;199;183;342;398;319;766;1656;2379;2451;1224;3025;3393;4134;3791;4000;3853;4568;6947;8508;2079;3169
LAO PEOPLE´S DEMOCRATIC REPUBLIC;346;403;463;500;614;737;674;736;636;895;1095;1215;1624;1737;2008;2513;2724;3330;3779;4159;4684;4239;3869;4186;4791;886.4;NULL
LATVIA;1633;1750;1842;1788;1738;1882;2061;2297;2524;3127;3791;4649;5209;5496;4727;5042;5538;5569;5822;6246;6842;6797;7726;7775;8342;3204;1937
LEBANON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LESOTHO;209;312;313;290;308;302;295;287;329;304;304;357;300;293;344;426;398;423;433;1079;1082;1196;1137;1173;1142;NULL;279
LIBERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIBYA;1832;1276;913;850;965;963;953;858;958;NULL;NULL;125;106;760;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIECHTENSTEIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LITHUANIA;2600;3497;3702;4287;4454;4092;4195;3999;3635;NULL;NULL;NULL;4251;4459;4001;4073;4504;4979;5264;5217;5048;5322;5590;6115;6150;2284;2096
LUXEMBOURG;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MACAO, CHINA;7752;8151;7000;6949;7444;9162;10279;11531;11888;16673;18711;21998;27003;22933;21753;24965;28002;28082;29325;31526;30715;30950;32611;35804;39406;5897;7706
MADAGASCAR;115;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;282;333;285;360;486;87.1;7.8
MALAWI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MALAYSIA;14885;14084;12591;10886;13910;17213;22995;20756;16293;24432;24209;25298;28325;25321;31509;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;35046;6102;399
MALDIVES;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MALI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MALTA;1193;1123;1238;1326;1402;1387;1439;1483;1512;1428;1484;1521;1723;1832;1608;1815;1916;2007;2013;2162;2383;2592;2944;3232;3519;718;1110
MARSHALL ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6.5;7.9;NULL;NULL;2;NULL
MARTINIQUE;885;885;900;964;903;816;663;654;722;630;577;599;573;568;511;553;538;603;622;696;762;842;1003;1002;919;523.6;312
MAURITANIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MAURITIUS;437;509;558;579;600;678;675;709;721;739;782;807;933;970;890;956;983;984;1015;1065;1174;1307;1371;1431;1418;315.6;180.3
MEXICO;85446;90394;92915;95214;99869;105673;100718;100153;92330;99250;103146;97701;93582;92948;88044;81953;75732;76749;78100;81042;87129;94853;99349;96497;97406;51128;55301
MICRONESIA, FEDERATED STATES OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MOLDOVA, REPUBLIC OF;32.8;28.9;21.2;19.9;14.1;19;15.7;20.2;23.6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MONACO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MONGOLIA;108;71;82;197;160;158;192;235;205;305;345;408;455;469;465;557;627;624;515;506;467;471;543;598;637;66.9;39.2
MONTENEGRO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MONTSERRAT;19.3;9;6.1;9.4;13;14.3;15.6;15;13.6;15.2;13.1;9.5;8.7;8.4;7.3;7.7;7.4;9.905;8.7;10.7;13.3;13.5;18.6;16.7;19.3;7.7;1.6
MOROCCO;2752;2856;3203;3267;4088;4458;4596;4709;5021;5732;6077;6777;7701;8209;8661;9752;9784;9830;10349;10507;10542;10677;11540;12489;13109;2802;3722
MOZAMBIQUE;NULL;NULL;NULL;NULL;NULL;NULL;404;943;726;711;954;1095;1259;1439;1711;1836;2013;2206;1970;1751;1634;1715;1514;2870;2033;959;549
MYANMAR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
