Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
GEORGIA;NULL;NULL;1;NULL;NULL;NULL;1;1;NULL;1;NULL;1;1;1;1;3;1.3;2.1;2.2;2.6;4.1;6.3;8.2;8.4;9.4;2.1;7.1
GERMANY;124;124;134;137;142;160;147;144;143;146;144;167;164;160;158;193;193;227;246;253.6;274;262.6;271.2;272.5;284.2;73.9;62.4
GHANA;97;104;111;118;127;136;149;164;181;199;173;140;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;475.3;507.9;524.2;680.8;221.4;378
GREECE;27;24;23;21;24;24;24;22;19;23;23;30;46;44;26;28;34;33;27;40;35.6;63.1;82.1;115.1;127.3;15.1;23.6
GRENADA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;NULL;NULL;1;1;1;1;1;0.3;0.5;0.5;0.5;0.5;0.7;0.6;0.7;0.2;0.1
GUADELOUPE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUAM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUATEMALA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.8;1.3;1.3;1.4;1.5;1.7;1.7;1.7;1.9;2;1.9;0.4;0.5
GUINEA;NULL;NULL;3;4;9;13;18;22;16;13;15;18;10;10;NULL;4.6;44;40;20.2;11.2;12.2;21.1;NULL;NULL;NULL;NULL;NULL
GUINEA-BISSAU;NULL;NULL;NULL;NULL;NULL;NULL;2.1;NULL;NULL;NULL;1.2;2.7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUYANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
HAITI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.4;0.5
HONDURAS;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2;0.3;0.2;0.3;0.2;0.2;0.3;0.4;0.4;0.7;0.7;0.2;0.3;0.7;0.9;0.3;0.5;0.1;0.1
HONG KONG, CHINA;68;65;74;64;65;73;77;92;99;146;206;218;231;210;182;204;193;173;168;165.5;156;143.8;129.6;128;115;8.6;0.4
HUNGARY;7;7;6;NULL;NULL;NULL;7;6;6;18;17;20;22;21;22;23;26;26;28;29;32;35;37.8;40.1;44.5;11.5;11.7
ICELAND;NULL;NULL;NULL;NULL;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
INDIA;84;86;99;106;130;91;87;80;89;112;131;137;151;136;159;197;224;251;262;267.7;281.9;277;295.9;325.8;334.7;83.8;66.8
INDONESIA;38;29;24;52;38;38;40;37;30;36;27;23;28;30;28;27;32;41;51;56;56.8;75.2;89.4;86.9;96.3;16.1;2.3
IRAN, ISLAMIC REPUBLIC OF;1;2;3;3;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4;6;7;12;17;19.2;22.2;14.1;14;11.7;10.2;0.7;1.2
IRAQ;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
IRELAND;NULL;NULL;NULL;23;24;27;32;29;32;42;39;48;39;54;43;NULL;NULL;40;38;42;40;47;54;56;59;NULL;NULL
ISRAEL;57;42;43;37;36;45;36;29;30;40;41;54;66;74;76;72;85;71;69;63;62;55.6;63.8;70.4;76.9;12.3;5.7
ITALY;96;176.2;241.8;181.9;155.8;213.7;201.9;215.6;134.3;311.2;416.5;379.2;373.3;361;288.6;378.2;363.5;278.8;256.6;261.5;280.5;315;272.5;222;209.2;124;147.9
JAMAICA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1.4;1;1.5;1.5;1.5;1.7;1.9;0.5;0.6
JAPAN;12;11;12;13;13;15;15;17;16;17;21;19;20;21;17;19;17;21;23;23.9;27;28.6;30.3;33.1;48.5;6.5;5.5
JORDAN;2;2;2;26;25;17;17;20;18;20;30;50;55;50;46;50;50;55;55;58;51.8;47.1;53.4;58.3;62.5;19.5;29.6
KAZAKHSTAN;NULL;NULL;NULL;NULL;NULL;NULL;2;1;1;2;2;5;2;2;3;3;2;12;2;2.333;3;2.1;2.5;2.4;2.5;1;1.8
KENYA;174;216;273;251;264;282;271;272;312;95;113;181;205;136;158;279;354.5;309.6;286.2;301.4;273.5;300.4;295.2;694.4;706.4;216.2;319.8
KIRIBATI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KOREA, REPUBLIC OF;8;9;11;11;14;14;16;16;15;15;14;16;19;21;22;27;30;32;33.6;34.7;35.6;47.7;39.8;43.3;49.5;12.2;9.7
KUWAIT;10;11;14;19;18;17;18;24;26;29;35;43;55;65;73;95;113;114;131.9;103.1;104.3;97.1;104.2;120.7;107.6;32.5;30.8
KYRGYZSTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LAO PEOPLE´S DEMOCRATIC REPUBLIC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LATVIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;1;3;NULL;5;7;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LEBANON;13;14;19;23;28;24;30;37;39;45;31;39;60;51;66;66;83;82;85.4;75.6;108.1;127.7;137.8;138.9;92.7;20.2;42.5
LESOTHO;202;304;313;286;302;293;286;278;303;290;289;330;271;259;314;401;380;404;408.4;1017.6;1019.1;1131.5;1060.8;1104;1064.1;NULL;262.4
LIBERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIBYA;968;829;572;462;531;533;515;439;458;NULL;NULL;NULL;0.2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIECHTENSTEIN;NULL;NULL;NULL;NULL;NULL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.1;0.1;0.4;0.2;0.2;0.2;0.2;0.2;0.236;0.2;0.1;0.01
LITHUANIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;2.3;1.2;1.9;3.2;5.3;5.9;6.4;6.5;6.5;8.8;NULL;NULL;NULL;NULL
LUXEMBOURG;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4;4;3;3;10.1;14;5;6.8;5.9;5.1;4.7;4.1;4.4;2.6;4.6
MACAO, CHINA;6;7;6;5;4;4;4;4;4;6;8;14;30;22;17;23;24.9;27;29.4;35;31;27.1;25.1;25.5;26;2;NULL
MADAGASCAR;8;9;6;15;20;24;31;6;22;39;52;59;64;84;37;40;39;45.3;35;36.9;12.1;21.6;11.5;20.7;28.7;8;0.493
MALAWI;140;143;153;162;188;171;203;300;320;336;337;484;559;574;574;562;588;631.1;642.2;637.3;635.9;645;698.3;726.2;896.1;184.6;392.7
MALAYSIA;29;30;24;25;30;74;162;148;134;137;128;157;308;127;85;42;111;99;101;108.3;96.1;79.7;75;119.4;126.8;20.8;2.4
MALDIVES;8;8;8;7;2;2;2;3;4;5;3;4;5;6;5;6;6;7;8;8.1;9.2;10.8;14.7;15.4;18.7;6.5;27.5
MALI;12;12;14;18;16;19;19;21;28;29;36;39;29;47;45;47;52;41;52.6;62.2;73.9;94.8;88.2;98.5;99.2;29.5;46.7
MALTA;5;4;6;6;7;10;9;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MARSHALL ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
