Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
INDIA;284;322;340;349;373;455;440;459;540;690;804;912;1050;1071;1098;1237;1301;1360;1411;1459.3;1567.2;1693;1805.1;1908.8;1962.8;543.9;517.1
INDONESIA;201;244;209;201;187;232;243;222;176;210;210;185;220;240;230;259;297;312;333;358.8;411.6;476;537;568.4;646.9;133.7;25
IRAN, ISLAMIC REPUBLIC OF;3;3;3;3;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6;7;6;6;7;9.1;11.1;12.6;12.2;9.6;8.4;1.1;1.5
IRAQ;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
IRELAND;641;738;787;871;961;1068;915;860;913;975;956;1058;1099;985;921;864;917;988;1092;1208;1357;1539;1792;2057;2000;NULL;NULL
ISRAEL;582;559;548;571;645;684;350;261;348;487;603;607;673;783;687;809;776;791;803;794;809;832.2;1025.2;1186.3;1306.5;257;171
ITALY;2403;2055.7;2646;2474.8;2004.4;2292.3;2202.7;2117.9;1721.9;3577;3887;4243.4;4152;3922.7;3761.2;3968.6;4828.8;4757.3;5404.9;5617.8;6099.1;6051.6;6532.7;7171.8;7755.4;1031.2;1100.2
JAMAICA;920;926;959;995;1024;1109;1083;1076;1120;1162;1234;1411;1398;1470;1543;1640;1687;1751;1759.4;1805;1827.6;1871.5;2011.3;2129.8;2345.2;799;1374.5
JAPAN;695;749;781;828;853;899;866;928;824;951;1032;1035;1054;1006;908;945;717;927;1032;1169.2;1384.8;1648.4;1848.8;2044.5;2298.8;303.1;31.4
JORDAN;103;108;108;87;91;91;52;52;65;93;112;164;178;200;190;215;189;199;188;195.5;192.1;134.9;152.4;182.3;216.2;40.8;62.1
KAZAKHSTAN;NULL;NULL;NULL;NULL;NULL;18;19;25;23;32;31;32;33;30;27;28;29;34;30;33;37.3;33.2;40.9;43.2;47;8.4;9.2
KENYA;59;60;85;80;82;88;85;85;94;150;94;114;134;89;111;131;186;190;166;147.5;127.9;148;167.9;267;286.5;77.3;155.7
KIRIBATI;1;0.8;1;1.5;1.5;1.5;0.9;1.1;0.8;0.4;1;0.8;1.1;0.9;0.7;0.8;1.1;0.7;1.4;1;1.1;1.3;1.4;1.54;1.7;0.3;NULL
KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KOREA, REPUBLIC OF;417;465;494;471;464;535;507;556;505;611;640;673;716;744;751;814;827;876;915.6;974;974.1;1116.2;1117.1;1242.8;1345.7;271.5;241.8
