Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
GRENADA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.4;0.3;0.7;0.6;0.4;0.2;0.1;0.1;NULL;NULL
GUADELOUPE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUAM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUATEMALA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;NULL;1;NULL;NULL;NULL;0.4;0.4;0.4;0.5;0.6;0.8;0.8;0.8;1.2;1.2;1.2;0.3;0.4
GUINEA;NULL;NULL;2;4;NULL;NULL;1;2;1;1;1;1;1;0.7;NULL;0.3;2;2;1.2;0.7;0.7;1.1;NULL;NULL;NULL;NULL;NULL
GUINEA-BISSAU;NULL;NULL;NULL;NULL;NULL;NULL;0.2;NULL;NULL;NULL;NULL;0.1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUYANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
HAITI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.1
HONDURAS;NULL;NULL;NULL;NULL;NULL;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.2;0.2;0.5;0.3;0.4;0.2;NULL;0.1;0.3;0.2;NULL;0.1
HONG KONG, CHINA;19;16;16;19;24;32;30;35;25;31;46;62;79;71;75;91;85;78;83.8;83.4;79.8;79.9;64.6;62;51.6;3.1;NULL
HUNGARY;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ICELAND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
INDIA;101;97;94;77;90;69;67;66;69;80;86;98;118;166;159;183;221;231;285;357.4;361.2;382;385.1;367.6;344.3;73.9;43.6
INDONESIA;27;24;30;44;32;35;37;38;31;36;61;55;55;67;122;145;176;149;189;193.5;238.3;292.4;269.2;257;255.2;48.6;4.9
IRAN, ISLAMIC REPUBLIC OF;62;75;80;97;113;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;519;740;782;1333;1977;1983.2;2072.7;1703.2;1528.8;2781.8;3442.3;428.4;358.8
