Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
FIJI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FINLAND;NULL;NULL;NULL;963;1051;1144;1453;1722;1663;1765;1766;1753;1993;2170;2053;2388;3005;3337;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRANCE;NULL;48742;51931;NULL;NULL;NULL;59158;NULL;NULL;51993;51175;52298;52467;50014;50282;50997.5;52656.2;53652.100000000006;53376;54775;52517.5;51237.6;53434.9;54667;55641.399999999994;NULL;NULL
FRENCH GUIANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GABON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GAMBIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;362;347;486;345;496;NULL;NULL;NULL;NULL;NULL;NULL;297;273.6;347.6;332.4;370.5;148;217.6
GEORGIA;70;90;113;245;184;263;210;191;195;237;429;754;849;1050;1247;1730;2321.9;3632.5;4328.099999999999;4324;4482.3;4358;5011.4;5382.5;5855.9;1230.8999999999999;837.3
GERMANY;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GHANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GREECE;811;971;1357;1436;1405;1805;2408;2945;2923;2784;3090;3520;3163;3167;3159;3339;3808;3734;4810.2;7275;7986;7607.9;8273.9;8802.2;9595.3;1555.3999999999999;2639
