Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
GREECE;8479;7684;8148;8646;9962;10454;10841;10438;10417;9974;10915;11509;11920;11692;10748;10637;11671;10993;12302.4;14057;14981;16330.7;17947;20385.7;20709.4;5550.4;11630.4
GRENADA;95;94;98;104;115;118;112;121;134;128;94;114;125;125;109;105;114;105;106;125;133;135.4;146.4;161;163;43.8;42.1
GUADELOUPE;NULL;625;660;580;561;603;521;NULL;439;456;372;393;408;412;347;392;317;325;487;486;512;581;650;735;NULL;NULL;NULL
GUAM;1350;1362;1373;1129;1156;1279;1124;1031;857;1121;1185;1184;1181;1093;1044;1188;1150;1298.6;1328.7;1331;1400;1517.4;1522.4;1532.4;1655.7;326.6;78.4
GUATEMALA;299;269;303;331;358;366;408;403;402;434;480;497;558;556;494.4;520.9;508.2;536.7;552.5;598;640.3;681.4;737.9;783.3;806.2;205.4;358.7
GUINEA;NULL;12;17;23;27;33;36.4;40.6;44;42;45;46.1;30;23.7;NULL;12.4;131;96;56;33;35;63;99;NULL;NULL;NULL;NULL
GUINEA-BISSAU;NULL;NULL;NULL;NULL;NULL;NULL;7.8;NULL;NULL;NULL;5;11.6;15.6;18;16;22.3;36.7;35.4;35.5;36.1;43.8;45.2;49.5;55;52.4;NULL;NULL
GUYANA;88;81;68;NULL;NULL;NULL;NULL;104;101;122;117;113;134;130;141;152;157;177;NULL;NULL;173.4;201.2;216.3;255.1;286.7;77.3;154
HAITI;145;150;149;147;143;140;142;140;136;96;112;108;386;258;387;255;349;349.2;420;465.2;516;445;467;447.4;286;203;148
HONDURAS;205;201;189;206;227;237;230;210;248;259;301;352;383;398;391;401;426;378.3;394;413;427.4;457;572;604.3;459.8;128.8;327.7
HONG KONG, CHINA;6823;7532;6343;5571;6062;6709;6530;6891;4981;7015;7803;8625;9223;9114;8624;10187;11026;11559;12332;12849;13172.8;13398.5;13704.6;14386.7;11869.8;853.1;21.7
HUNGARY;892;1183;1349;1496;1823;1735;1391;1302;1730;2282;2084;2110;2230;2923;3258;3205;3531;3305;3518;3724;4408;4936.8;5441;6113.4;7029.1;1840.7;2163.4
ICELAND;185;195;195;225;255;296;296;278;309;349;363;409;470;488;480;473;553;660;791;979;1271;1772.4;2201.7;2323.1;1994.3;479.9;687.9
INDIA;1833;1996;2048;2041;2089;2214;2210;1953;2265;2960;3390;3873;4542;4707;4642;5302;5804;6032;6341;6611.7;6787;7406.2;7992.5;8405.9;8462.5;2173.9;1336
INDONESIA;2700;3210;3138;2346;2449;2760;2766;2745;2178;2790;2889;2822;3304;4091;4396;4998;5446;5755;6429;6977.5;7331;8555.6;9670.7;10088.8;9834.7;1713.6;137.2
IRAN, ISLAMIC REPUBLIC OF;151;169;321;413;236;257;395;429;NULL;545;NULL;NULL;NULL;730;635;636;637;862;1253;1518;1664;1615.9;1629.1;1441.7;1573;194.6;344.7
IRAQ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
IRELAND;2666;3043;3305;3708;4101;4450;4322;4439;4819;4980;5546;6304;6578;6468;5703;4845;5339;5314;5626;6010;6931;7622;7924;8477;8659;NULL;NULL
ISRAEL;1678;1612;1561;1553;1827;1955;1060;778;972;1339;1653;1568;1747;2114;1963;2313;2438;2482;2580.2;2528;2509;2623;3205;3634.4;3968.2;739.8;380.8
ITALY;8500;8558.4;8984;9200;9507;10773;10926;11567;12062;16927;18592;21520;23226;21368;19930;21092;23079;23276;24882.7;25736.7;28114;30483.8;34116.5;37229.5;39396.2;9976.4;11543.9
