Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
LIBERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIBYA;866;450;286;256;127;124;111;97;102;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIECHTENSTEIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LITHUANIA;NULL;475;664;1122;1086;746;999;1102;1155;1392;1500;1640;1062;1051;856;1052;1248;1352;1435;1453;1455;1657;1807.1;2036.4;2146.9;724.7;734.8
LUXEMBOURG;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;713;760;744.3;799;844;NULL;NULL;NULL;NULL;NULL;NULL
MACAO, CHINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MADAGASCAR;53;59;71;86;98;131;129;47;115;158;197;222;245;267;130;161;185;209.9;159;181.8;191.6;234.7;214.60000000000002;257.90000000000003;343.2;65;7.173
MALAWI;109;110;117;114;132;103;122;177;215;219;210;326;429;370;373;311;307;283.6;320.4;240.1;215.8;236.3;264.1;274.8;556;39;126
MALAYSIA;6438;6200;5354;4644;6770;8554;10530;10484;8456;12483;12361;13932;17986;18921;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MALDIVES;315;339;366;396;430;467;461;485;564;617;395;602;676;683;656;792;931;958;1125;1205;1234;1286;1390;1484;1703;555;1322
MALI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;115.7;64;107;90;92;93;118.5;114;163.5;137.7;NULL;155.1;69.3;159.3
MALTA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1001;1041;1057;1002;1145;1178;1073;1221;1297;1328;1464;1559.7;1656.5;1829.1999999999998;2093.3;2418.3999999999996;2564.2;608.4000000000001;905.3
MARSHALL ISLANDS;3.4000000000000004;3.7;3.9;4.5;2.6;2.9000000000000004;3.5;3.8;5;6;6.1;3.8;4.9;3.9;3.2;2.3;2.5;NULL;NULL;3.6;4;3.2;3.4;NULL;NULL;NULL;NULL
MARTINIQUE;412;426;439;485;488;452;394;403;400;410;405;445;421;409;377;421;456;432;451;433.3;NULL;NULL;454.3;458.3;492.2;265.5;246.7
MAURITANIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MAURITIUS;420;488.6;534.6;554.3000000000001;572.8;651.5;648;680.8000000000001;690.2;708.1;751.4;774.1;898.1;933;861;920.3000000000001;941.9;941.5;971.3;1020.3;1125.5;1256.5;1318.8999999999999;1372.6;1362.25;304.90000000000003;173.5
MEXICO;19541;20593;18577;18847;18520;20057;19201;19034;18126;20033;21129;20578;20742;22138;21663;22480;22568;22472;23087;28092;30702.3;33451;37355.3;39310.3;43133.7;23785.3;31286.800000000003
MICRONESIA, FEDERATED STATES OF;NULL;16;15;12;14;18;12.5;15.4;14.4;14.9;14.6;14.600000000000001;15.6;20.6;42.3;38.9;29.200000000000003;32.5;36.4;30;25.200000000000003;23.4;NULL;12.2;NULL;NULL;NULL
